path,size_bytes,size_mb,classification,governance_bucket,recommended_action,why_rebuildable,restore_or_rebuild_source,aggregate_sha256,checksummed_file_count,checksummed_size_bytes,checksum_skipped_files,approval_required,approval_status,delete_executed,move_executed,compress_executed,archive_executed
backtest_cache/ad_hoc_20260612_daily_targets,1628236,1.553,disposable_rebuildable_candidate,disposable_rebuildable_candidate,delete_or_archive_after_user_approval,Temporary/debug/smoke/preliminary output; keep until user approves cleanup.,Review source manifest or runner before cleanup.,563ae77f8b35be5aaf5fd0f59f82368a5992c44bce94bf27510076a671f90657,11,1628236,0,True,pending_user_approval,False,False,False,False
backtest_cache/ad_hoc_20260612_daily_targets_filled,1626730,1.551,disposable_rebuildable_candidate,disposable_rebuildable_candidate,delete_or_archive_after_user_approval,Temporary/debug/smoke/preliminary output; keep until user approves cleanup.,Review source manifest or runner before cleanup.,60dd92a030d2bb3b81c26ef18912c43d244b45015b87a1bf0327c9f46a1f0cd6,11,1626730,0,True,pending_user_approval,False,False,False,False
outputs/stock_pool_observations_remove_00631l_cap_smoke_20260629,599166,0.571,disposable_rebuildable_candidate,disposable_rebuildable_candidate,delete_or_archive_after_user_approval,Temporary/debug/smoke/preliminary output; keep until user approves cleanup.,Rebuild from committed runner/source manifest when needed; preserve current approval package before cleanup.,0c1bcfb6a8315d69e627d0c89b4cbd8cece4c21cfe3b0f6e644d06088690ea9c,19,599166,0,True,pending_user_approval,False,False,False,False
backtest_cache/ad_hoc_2023_2024_yfinance,488422,0.466,disposable_rebuildable_candidate,disposable_rebuildable_candidate,delete_or_archive_after_user_approval,Temporary/debug/smoke/preliminary output; keep until user approves cleanup.,Review source manifest or runner before cleanup.,4b314e15ff55bf37caa725b86b450eb1cae6f34d0985d4faa060c73d756176e9,10,488422,0,True,pending_user_approval,False,False,False,False
backtest_cache/ad_hoc_2021_2022_yfinance,348676,0.333,disposable_rebuildable_candidate,disposable_rebuildable_candidate,delete_or_archive_after_user_approval,Temporary/debug/smoke/preliminary output; keep until user approves cleanup.,Review source manifest or runner before cleanup.,7b73ffec7128785a991f5e86a87f4efead352b34ca246035e44cb499fef3b870,10,348676,0,True,pending_user_approval,False,False,False,False
backtest_cache/ad_hoc_20260529_signal,300644,0.287,disposable_rebuildable_candidate,disposable_rebuildable_candidate,delete_or_archive_after_user_approval,Temporary/debug/smoke/preliminary output; keep until user approves cleanup.,Review source manifest or runner before cleanup.,3f8b627692f9732cd7206c04e1bb1a7e8e8bae85c49d62cac311ae8fc49e105e,10,300644,0,True,pending_user_approval,False,False,False,False
backtest_cache/ad_hoc_00631l_full_history,190495,0.182,disposable_rebuildable_candidate,disposable_rebuildable_candidate,delete_or_archive_after_user_approval,Temporary/debug/smoke/preliminary output; keep until user approves cleanup.,Review source manifest or runner before cleanup.,9a1f1b8b69ade83bce694ce7d47377ee0dddb7e28b71febb80dbb36787f83d0c,3,190495,0,True,pending_user_approval,False,False,False,False
outputs/tw50_constituent_coverage_20260620_full,61636,0.059,disposable_rebuildable_candidate,disposable_rebuildable_candidate,delete_or_archive_after_user_approval,Untracked generated data; likely rebuildable but requires approval before cleanup.,Rebuild from committed runner/source manifest when needed; preserve current approval package before cleanup.,5b9513ee892c135a30b047c35d0f6ccc825c2b7ac22e9d862d8ba65699a48fd0,7,61636,0,True,pending_user_approval,False,False,False,False
outputs/core_data_backfill_tw50_201411_202312_phase2_runner_20260629,56444,0.054,disposable_rebuildable_candidate,disposable_rebuildable_candidate,delete_or_archive_after_user_approval,Untracked generated data; likely rebuildable but requires approval before cleanup.,Rebuild from committed runner/source manifest when needed; preserve current approval package before cleanup.,e6a67ef7f00589937e3ce36e7c02b560e77b49a8a4cf986fdff915a1655066dd,15,56444,0,True,pending_user_approval,False,False,False,False
outputs/core_data_backfill_price_and_target_gaps_phase3_20260629,36768,0.035,disposable_rebuildable_candidate,disposable_rebuildable_candidate,delete_or_archive_after_user_approval,Untracked generated data; likely rebuildable but requires approval before cleanup.,Rebuild from committed runner/source manifest when needed; preserve current approval package before cleanup.,66c3a42d1069594517bdd6997efaa54d015965d3e4bb4c03d9c554139c8c8807,11,36768,0,True,pending_user_approval,False,False,False,False
outputs/stock_pool_historical_replay_20260620_smoke_tw50,27572,0.026,disposable_rebuildable_candidate,disposable_rebuildable_candidate,delete_or_archive_after_user_approval,Temporary/debug/smoke/preliminary output; keep until user approves cleanup.,Rebuild from committed runner/source manifest when needed; preserve current approval package before cleanup.,61c0c9477fec449716362972d2ccefa8d773b0877c7ad05a4901a6fe50e289aa,9,27572,0,True,pending_user_approval,False,False,False,False
outputs/core_data_backfill_tw50_201411_202312_audit_20260629,14664,0.014,disposable_rebuildable_candidate,disposable_rebuildable_candidate,delete_or_archive_after_user_approval,Untracked generated data; likely rebuildable but requires approval before cleanup.,Rebuild from committed runner/source manifest when needed; preserve current approval package before cleanup.,89db71e22417b6b00a1f93dd56a8d9a60ef22fda77d9642c4d2523b1f707df35,10,14664,0,True,pending_user_approval,False,False,False,False
outputs/tw50_constituent_coverage_20260620,7525,0.007,disposable_rebuildable_candidate,disposable_rebuildable_candidate,delete_or_archive_after_user_approval,Untracked generated data; likely rebuildable but requires approval before cleanup.,Rebuild from committed runner/source manifest when needed; preserve current approval package before cleanup.,4af88fa1d650d7ce02b1b668efd4d791ef1895f378c3248477ed99d4f83bd3e2,7,7525,0,True,pending_user_approval,False,False,False,False
outputs/core_ai_megacap_price_refresh_for_ma_similarity_20260629,5970,0.006,disposable_rebuildable_candidate,disposable_rebuildable_candidate,delete_or_archive_after_user_approval,Untracked generated data; likely rebuildable but requires approval before cleanup.,Rebuild from committed runner/source manifest when needed; preserve current approval package before cleanup.,029ffbac2e54c3e0c66ccdf540d2f8754fec24065d7b3bec590e797c86ebbffc,7,5970,0,True,pending_user_approval,False,False,False,False
outputs/data_governance_storage_audit_20260704,383,0.0,disposable_rebuildable_candidate,disposable_rebuildable_candidate,delete_or_archive_after_user_approval,Untracked generated data; likely rebuildable but requires approval before cleanup.,Rebuild from committed runner/source manifest when needed; preserve current approval package before cleanup.,a7d70548c9d92b9dbe26a5587fead34df27355615921417fcb61a443ae044dcc,14,132292,0,True,pending_user_approval,False,False,False,False
outputs/current_formal_pool1_pool2_signal_panels_pool2_persistence_smoke_20260702,262,0.0,disposable_rebuildable_candidate,disposable_rebuildable_candidate,delete_or_archive_after_user_approval,Temporary/debug/smoke/preliminary output; keep until user approves cleanup.,Rebuild from committed runner/source manifest when needed; preserve current approval package before cleanup.,f784a297a28debdeb8ed3885c7a454c925f6822d34f84359bdc9a8e50f5d4214,2,262,0,True,pending_user_approval,False,False,False,False
