parameter,candidate_order,candidate_value,base_selected,max_values,large_grid_allowed,selection_policy
challenger_margin,1,low:3pct_or_equivalent_z,False,3,False,stable_plateau_P1_walkforward_years_not_single_peak
challenger_margin,2,base:5pct_or_equivalent_z,False,3,False,stable_plateau_P1_walkforward_years_not_single_peak
challenger_margin,3,high:8pct_or_equivalent_z,False,3,False,stable_plateau_P1_walkforward_years_not_single_peak
confidence_floor,1,0.6,False,3,False,stable_plateau_P1_walkforward_years_not_single_peak
confidence_floor,2,0.7,False,3,False,stable_plateau_P1_walkforward_years_not_single_peak
confidence_floor,3,0.8,False,3,False,stable_plateau_P1_walkforward_years_not_single_peak
incumbent_weakening_threshold,1,mild,False,3,False,stable_plateau_P1_walkforward_years_not_single_peak
incumbent_weakening_threshold,2,base,False,3,False,stable_plateau_P1_walkforward_years_not_single_peak
incumbent_weakening_threshold,3,strict,False,3,False,stable_plateau_P1_walkforward_years_not_single_peak
market_tightening_multiplier,1,0.8,False,3,False,stable_plateau_P1_walkforward_years_not_single_peak
market_tightening_multiplier,2,1.0,False,3,False,stable_plateau_P1_walkforward_years_not_single_peak
market_tightening_multiplier,3,1.2,False,3,False,stable_plateau_P1_walkforward_years_not_single_peak
after_cost_edge_buffer,1,1x_round_trip_cost,False,3,False,stable_plateau_P1_walkforward_years_not_single_peak
after_cost_edge_buffer,2,1.5x_round_trip_cost,False,3,False,stable_plateau_P1_walkforward_years_not_single_peak
after_cost_edge_buffer,3,2x_round_trip_cost,False,3,False,stable_plateau_P1_walkforward_years_not_single_peak
overheat_tolerance_percentile,1,80,False,3,False,stable_plateau_P1_walkforward_years_not_single_peak
overheat_tolerance_percentile,2,90,False,3,False,stable_plateau_P1_walkforward_years_not_single_peak
overheat_tolerance_percentile,3,95,False,3,False,stable_plateau_P1_walkforward_years_not_single_peak
state_confirmation_count,1,2,False,3,False,stable_plateau_P1_walkforward_years_not_single_peak
state_confirmation_count,2,3,False,3,False,stable_plateau_P1_walkforward_years_not_single_peak
state_confirmation_count,3,4,False,3,False,stable_plateau_P1_walkforward_years_not_single_peak
