stop_gate,trigger_action,future_return_used_as_rule,formal_change_allowed
ordinary_years_weak_P2_hides,stop_or_route_reset,False,False
one_episode_or_ticker_cluster_dependency,stop_or_route_reset,False,False
remove_best_episode_collapses,stop_or_route_reset,False,False
after_cost_edge_disappears,stop_or_route_reset,False,False
excessive_churn,stop_or_route_reset,False,False
healthy_incumbent_replaced_without_multiblock_evidence,stop_or_route_reset,False,False
missing_data_benefit,stop_or_route_reset,False,False
price_core_missing_selected,stop_or_route_reset,False,False
reference_signal_selected_without_approval,stop_or_route_reset,False,False
00631L_hurdle_fails_after_cost,stop_or_route_reset,False,False
2026YTD_severe_instability,stop_or_route_reset,False,False
