max_exception_stock_count,equal_weight_sleeve_weight,weighted_notional_twd,transition_action,from_asset_type,to_asset_type,buy_fee_twd,sell_fee_twd,securities_transaction_tax_twd,total_transition_cost_twd,transition_cost_rate_on_weighted_notional,transition_cost_rate_on_total_unit_notional,cost_model_version,cost_model_policy,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
1,1.0,1000000.0,00631L_to_stock_exception_sleeve,etf,stock,1425,1425,1000,3850,0.00385,0.00385,taiwan_standard_fee_tax_v1,EP05 TaiwanCostModel; ETF/stock sell tax split; Experiments must apply realized transitions,True,False,False,False,False,False,False,False,True,False
1,1.0,1000000.0,stock_exception_sleeve_to_00631L,stock,etf,1425,1425,3000,5850,0.00585,0.00585,taiwan_standard_fee_tax_v1,EP05 TaiwanCostModel; ETF/stock sell tax split; Experiments must apply realized transitions,True,False,False,False,False,False,False,False,True,False
1,1.0,1000000.0,stock_to_stock_rebalance_within_exception_sleeve,stock,stock,1425,1425,3000,5850,0.00585,0.00585,taiwan_standard_fee_tax_v1,EP05 TaiwanCostModel; ETF/stock sell tax split; Experiments must apply realized transitions,True,False,False,False,False,False,False,False,True,False
2,0.5,500000.0,00631L_to_stock_exception_sleeve,etf,stock,712,712,500,1924,0.003848,0.001924,taiwan_standard_fee_tax_v1,EP05 TaiwanCostModel; ETF/stock sell tax split; Experiments must apply realized transitions,True,False,False,False,False,False,False,False,True,False
2,0.5,500000.0,stock_exception_sleeve_to_00631L,stock,etf,712,712,1500,2924,0.005848,0.002924,taiwan_standard_fee_tax_v1,EP05 TaiwanCostModel; ETF/stock sell tax split; Experiments must apply realized transitions,True,False,False,False,False,False,False,False,True,False
2,0.5,500000.0,stock_to_stock_rebalance_within_exception_sleeve,stock,stock,712,712,1500,2924,0.005848,0.002924,taiwan_standard_fee_tax_v1,EP05 TaiwanCostModel; ETF/stock sell tax split; Experiments must apply realized transitions,True,False,False,False,False,False,False,False,True,False
3,0.3333333333333333,333333.3333333333,00631L_to_stock_exception_sleeve,etf,stock,475,475,333,1283,0.0038490000000000004,0.001283,taiwan_standard_fee_tax_v1,EP05 TaiwanCostModel; ETF/stock sell tax split; Experiments must apply realized transitions,True,False,False,False,False,False,False,False,True,False
3,0.3333333333333333,333333.3333333333,stock_exception_sleeve_to_00631L,stock,etf,475,475,1000,1950,0.00585,0.00195,taiwan_standard_fee_tax_v1,EP05 TaiwanCostModel; ETF/stock sell tax split; Experiments must apply realized transitions,True,False,False,False,False,False,False,False,True,False
3,0.3333333333333333,333333.3333333333,stock_to_stock_rebalance_within_exception_sleeve,stock,stock,475,475,1000,1950,0.00585,0.00195,taiwan_standard_fee_tax_v1,EP05 TaiwanCostModel; ETF/stock sell tax split; Experiments must apply realized transitions,True,False,False,False,False,False,False,False,True,False
4,0.25,250000.0,00631L_to_stock_exception_sleeve,etf,stock,356,356,250,962,0.003848,0.000962,taiwan_standard_fee_tax_v1,EP05 TaiwanCostModel; ETF/stock sell tax split; Experiments must apply realized transitions,True,False,False,False,False,False,False,False,True,False
4,0.25,250000.0,stock_exception_sleeve_to_00631L,stock,etf,356,356,750,1462,0.005848,0.001462,taiwan_standard_fee_tax_v1,EP05 TaiwanCostModel; ETF/stock sell tax split; Experiments must apply realized transitions,True,False,False,False,False,False,False,False,True,False
4,0.25,250000.0,stock_to_stock_rebalance_within_exception_sleeve,stock,stock,356,356,750,1462,0.005848,0.001462,taiwan_standard_fee_tax_v1,EP05 TaiwanCostModel; ETF/stock sell tax split; Experiments must apply realized transitions,True,False,False,False,False,False,False,False,True,False
5,0.2,200000.0,00631L_to_stock_exception_sleeve,etf,stock,285,285,200,770,0.00385,0.00077,taiwan_standard_fee_tax_v1,EP05 TaiwanCostModel; ETF/stock sell tax split; Experiments must apply realized transitions,True,False,False,False,False,False,False,False,True,False
5,0.2,200000.0,stock_exception_sleeve_to_00631L,stock,etf,285,285,600,1170,0.00585,0.00117,taiwan_standard_fee_tax_v1,EP05 TaiwanCostModel; ETF/stock sell tax split; Experiments must apply realized transitions,True,False,False,False,False,False,False,False,True,False
5,0.2,200000.0,stock_to_stock_rebalance_within_exception_sleeve,stock,stock,285,285,600,1170,0.00585,0.00117,taiwan_standard_fee_tax_v1,EP05 TaiwanCostModel; ETF/stock sell tax split; Experiments must apply realized transitions,True,False,False,False,False,False,False,False,True,False
