decision_date,execution_date,selected_ticker,challenger_ticker,selected_action,action_reason,regime,selected_name,lifecycle_state,base_score,total_confidence,history_ready,price_core_valid,block_A,block_B,block_C,block_D,block_E,block_F,watch_semantics,controller_threshold_profile,controller_adjusted_score_threshold,cost_model,slippage_bp_per_side,canonical_action_authority,candidate_matrix_placeholder_authority,selected_target_ready,prior_target,transition_type,base_transition_cost_rate,gross_exposure,close,source_quality,actual_execution_date,execution_timing_status,execution_price_ready
2023-07-17,2023-07-18,2388,2388,forced_replacement,invalid_or_weak_incumbent,ordinary_market,威盛,overheat_warning,72.79129204129204,1.0,True,True,99.13419913419914,95.45454545454548,83.49358974358975,26.16550116550117,55.0,50.0,not_applicable,entry1.0_replacement1.0,5.0,EP05_taiwan_standard_fee_tax_v1,10,True,False,True,,no_position_to_stock,0.002425,1.0,125.0,official_twse_raw_execution_ohlcv,2023-07-18,exact_next_day,True
2023-07-18,2023-07-19,2388,2388,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market,威盛,overheat_warning,74.37012987012987,1.0,True,True,98.26839826839826,95.45454545454544,83.33333333333334,38.05916305916306,55.0,50.0,not_applicable,entry1.0_replacement1.0,5.0,EP05_taiwan_standard_fee_tax_v1,10,True,False,True,2388,hold_same,0.0,1.0,127.5,official_twse_raw_execution_ohlcv,2023-07-19,exact_next_day,True
2023-07-19,2023-07-20,2388,2388,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market,威盛,overheat_warning,73.32950382950382,1.0,True,True,98.26839826839826,96.75324675324674,82.6923076923077,30.24475524475525,55.0,50.0,not_applicable,entry1.0_replacement1.0,5.0,EP05_taiwan_standard_fee_tax_v1,10,True,False,True,2388,hold_same,0.0,1.0,135.0,official_twse_raw_execution_ohlcv,2023-07-20,exact_next_day,True
2023-07-20,2023-07-21,2388,2388,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market,威盛,overheat_warning,72.49617049617049,1.0,True,True,99.13419913419914,97.4025974025974,82.37179487179488,23.0963480963481,55.0,50.0,not_applicable,entry1.0_replacement1.0,5.0,EP05_taiwan_standard_fee_tax_v1,10,True,False,True,2388,hold_same,0.0,1.0,148.5,official_twse_raw_execution_ohlcv,2023-07-21,exact_next_day,True
2023-07-21,2023-07-24,2388,2449,hold_incumbent,switch_gate_not_all_pass,ordinary_market,威盛,overheat_warning,72.7134532134532,1.0,True,True,99.56709956709956,98.37662337662336,81.73076923076923,23.523698523698524,55.0,50.0,not_applicable,entry1.0_replacement1.0,5.0,EP05_taiwan_standard_fee_tax_v1,10,True,False,True,2388,hold_same,0.0,1.0,151.0,official_twse_raw_execution_ohlcv,2023-07-24,exact_next_day,True
2023-07-24,2023-07-25,3515,3515,forced_replacement,invalid_or_weak_incumbent,ordinary_market,華擎,overheat_warning,69.98484271943177,1.0,True,True,88.42592592592592,98.95833333333334,74.82876712328766,28.61491628614916,55.0,50.0,not_applicable,entry1.0_replacement1.0,5.0,EP05_taiwan_standard_fee_tax_v1,10,True,False,True,2388,stock_to_stock,0.00785,1.0,272.0,official_twse_raw_execution_ohlcv,2023-07-25,exact_next_day,True
2023-07-25,2023-07-26,3515,4953,hold_incumbent,switch_gate_not_all_pass,ordinary_market,華擎,overheat_warning,64.84405124302384,1.0,True,True,60.64814814814815,97.56944444444444,75.51369863013699,32.31861998985287,55.0,50.0,not_applicable,entry1.0_replacement1.0,5.0,EP05_taiwan_standard_fee_tax_v1,10,True,False,True,3515,hold_same,0.0,1.0,261.0,official_twse_raw_execution_ohlcv,2023-07-26,exact_next_day,True
2023-07-26,2023-07-27,3515,4953,hold_incumbent,switch_gate_not_all_pass,ordinary_market,華擎,healthy_rise,67.00412227295789,1.0,True,True,47.68518518518518,97.22222222222224,76.54109589041096,38.096144089294775,80.0,50.0,not_applicable,entry1.0_replacement1.0,5.0,EP05_taiwan_standard_fee_tax_v1,10,True,False,True,3515,hold_same,0.0,1.0,258.0,official_twse_raw_execution_ohlcv,2023-07-27,exact_next_day,True
2023-07-27,2023-07-28,3515,4953,hold_incumbent,switch_gate_not_all_pass,ordinary_market,華擎,healthy_rise,68.39681633688483,1.0,True,True,54.62962962962964,97.22222222222224,64.04109589041096,54.78817858954846,80.0,50.0,not_applicable,entry1.0_replacement1.0,5.0,EP05_taiwan_standard_fee_tax_v1,10,True,False,True,3515,hold_same,0.0,1.0,262.5,official_twse_raw_execution_ohlcv,2023-07-28,exact_next_day,True
2023-07-28,2023-07-31,3515,4953,hold_incumbent,switch_gate_not_all_pass,ordinary_market,華擎,healthy_rise,67.60533992897007,1.0,True,True,53.24074074074074,96.18055555555554,61.64383561643836,55.94875697615424,80.0,50.0,not_applicable,entry1.0_replacement1.0,5.0,EP05_taiwan_standard_fee_tax_v1,10,True,False,True,3515,hold_same,0.0,1.0,253.0,official_twse_raw_execution_ohlcv,2023-07-31,exact_next_day,True
2023-07-31,2023-08-01,6531,6531,forced_replacement,invalid_or_weak_incumbent,ordinary_market,愛普*,healthy_rise,73.29239766081872,1.0,True,True,96.44444444444446,79.66666666666667,82.23684210526315,30.8187134502924,80.0,50.0,not_applicable,entry1.0_replacement1.0,5.0,EP05_taiwan_standard_fee_tax_v1,10,True,False,True,3515,stock_to_stock,0.00785,1.0,386.5,official_twse_raw_execution_ohlcv,2023-08-01,exact_next_day,True
2023-08-01,2023-08-02,6531,6531,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market,愛普*,healthy_rise,73.44488304093568,1.0,True,True,95.55555555555554,78.33333333333333,82.73026315789473,34.14035087719298,80.0,50.0,not_applicable,entry1.0_replacement1.0,5.0,EP05_taiwan_standard_fee_tax_v1,10,True,False,True,6531,hold_same,0.0,1.0,348.0,official_twse_raw_execution_ohlcv,2023-08-02,exact_next_day,True
2023-08-02,2023-08-04,6531,3044,hold_incumbent,switch_gate_not_all_pass,ordinary_market,愛普*,healthy_rise,70.65116959064328,1.0,True,True,89.77777777777777,71.0,82.07236842105263,33.87426900584796,80.0,50.0,not_applicable,entry1.0_replacement1.0,5.0,EP05_taiwan_standard_fee_tax_v1,10,True,False,True,6531,hold_same,0.0,1.0,343.0,official_twse_raw_execution_ohlcv,2023-08-04,exact_next_day,True
2023-08-04,2023-08-07,6531,3044,hold_incumbent,switch_gate_not_all_pass,ordinary_market,愛普*,healthy_rise,68.71783625730994,1.0,True,True,81.77777777777777,67.66666666666667,81.41447368421052,36.97368421052632,80.0,50.0,not_applicable,entry1.0_replacement1.0,5.0,EP05_taiwan_standard_fee_tax_v1,10,True,False,True,6531,hold_same,0.0,1.0,315.5,official_twse_raw_execution_ohlcv,2023-08-07,exact_next_day,True
2023-08-07,2023-08-08,8210,8210,forced_replacement,invalid_or_weak_incumbent,ordinary_market,勤誠,healthy_rise,70.42032967032968,1.0,True,True,89.61038961038962,97.72727272727272,70.1923076923077,12.762237762237769,80.0,50.0,not_applicable,entry1.0_replacement1.0,5.0,EP05_taiwan_standard_fee_tax_v1,10,True,False,True,6531,stock_to_stock,0.00785,1.0,196.0,official_twse_raw_execution_ohlcv,2023-08-08,exact_next_day,True
2023-08-08,2023-08-09,8210,2449,hold_incumbent,switch_gate_not_all_pass,ordinary_market,勤誠,healthy_rise,61.31568431568431,1.0,True,True,30.3030303030303,96.42857142857144,71.63461538461539,30.94960594960595,80.0,50.0,not_applicable,entry1.0_replacement1.0,5.0,EP05_taiwan_standard_fee_tax_v1,10,True,False,True,8210,hold_same,0.0,1.0,212.5,official_twse_raw_execution_ohlcv,2023-08-09,exact_next_day,True
2023-08-09,2023-08-10,8210,2449,hold_incumbent,switch_gate_not_all_pass,ordinary_market,勤誠,healthy_rise,68.36613386613386,1.0,True,True,67.53246753246754,95.77922077922078,73.87820512820514,26.187701187701183,80.0,50.0,not_applicable,entry1.0_replacement1.0,5.0,EP05_taiwan_standard_fee_tax_v1,10,True,False,True,8210,hold_same,0.0,1.0,191.5,official_twse_raw_execution_ohlcv,2023-08-10,exact_next_day,True
2023-08-10,2023-08-11,8210,2353,hold_incumbent,switch_gate_not_all_pass,ordinary_market,勤誠,healthy_rise,63.640859140859135,1.0,True,True,44.15584415584416,93.83116883116884,73.46403596403597,29.004329004329005,80.0,50.0,not_applicable,entry1.0_replacement1.0,5.0,EP05_taiwan_standard_fee_tax_v1,10,True,False,True,8210,hold_same,0.0,1.0,192.0,official_twse_raw_execution_ohlcv,2023-08-11,exact_next_day,True
2023-08-11,2023-08-14,8210,2353,hold_incumbent,switch_gate_not_all_pass,ordinary_market,勤誠,healthy_rise,66.80852480852482,1.0,True,True,59.74025974025974,93.83116883116884,73.5576923076923,29.21800421800421,80.0,50.0,not_applicable,entry1.0_replacement1.0,5.0,EP05_taiwan_standard_fee_tax_v1,10,True,False,True,8210,hold_same,0.0,1.0,183.5,official_twse_raw_execution_ohlcv,2023-08-14,exact_next_day,True
2023-08-14,2023-08-15,2353,2353,forced_replacement,invalid_or_weak_incumbent,ordinary_market,宏碁,healthy_rise,67.57339181286551,1.0,True,True,68.8888888888889,64.33333333333333,87.17105263157893,43.29824561403509,80.0,50.0,not_applicable,entry1.0_replacement1.0,5.0,EP05_taiwan_standard_fee_tax_v1,10,True,False,True,8210,stock_to_stock,0.00785,1.0,37.4,official_twse_raw_execution_ohlcv,2023-08-15,exact_next_day,True
2023-08-15,2023-08-16,2353,2353,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market,宏碁,healthy_rise,70.58406432748538,1.0,True,True,79.1111111111111,68.0,87.17105263157895,44.85087719298246,80.0,50.0,not_applicable,entry1.0_replacement1.0,5.0,EP05_taiwan_standard_fee_tax_v1,10,True,False,True,2353,hold_same,0.0,1.0,37.7,official_twse_raw_execution_ohlcv,2023-08-16,exact_next_day,True
2023-08-16,2023-08-17,2353,8050,hold_incumbent,switch_gate_not_all_pass,weak_market,宏碁,healthy_rise,69.1546783625731,1.0,True,True,71.11111111111111,67.0,86.18421052631578,48.63742690058479,80.0,50.0,not_applicable,entry1.1_replacement0.8,4.0,EP05_taiwan_standard_fee_tax_v1,10,True,False,True,2353,hold_same,0.0,1.0,38.55,official_twse_raw_execution_ohlcv,2023-08-17,exact_next_day,True
2023-08-17,2023-08-18,2353,2353,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market,宏碁,healthy_rise,73.33187134502923,1.0,True,True,80.44444444444444,68.0,87.82894736842105,60.51461988304093,80.0,50.0,not_applicable,entry1.0_replacement1.0,5.0,EP05_taiwan_standard_fee_tax_v1,10,True,False,True,2353,hold_same,0.0,1.0,37.4,official_twse_raw_execution_ohlcv,2023-08-18,exact_next_day,True
