field,group,role,source_quality,policy
traded_value_rank_20d,capital_support,support,exact_from_layer0_compact_pit,context only
traded_value_rank_60d,capital_support,support,exact_from_layer0_compact_pit,context only
capital_rank_improvement_20d_vs_60d,capital_support,support_or_warning,exact_from_layer0_compact_pit,context only
capital_reasonable_band_4w_persistent,capital_support,support,diagnostic_pit_rolling,no row deletion
pure_5d_burst_without_20d60d_confirmation,capital_support,warning,diagnostic_pit_context,watchlist/penalty only
RS5_RS10_RS20_RS30proxy_RS60,relative_strength,support_or_warning,pit_stock_features_rs30_proxy,RS30 proxy only
rs_short_deterioration_flag,relative_strength,warning,pit_rs_context,context only
rs60_high_short_rs_weakening_exhaustion_context,relative_strength,penalty,pit_rs_context,context only
BIAS_percentile_volatility,risk_overheat,penalty,pit_stock_features_diagnostic,context only
large_down_day_proxy,risk_overheat,proxy,diagnostic_price_proxy_threshold_not_formal,not formal trigger
blowoff_turnover_proxy,risk_overheat,proxy,diagnostic_traded_value_proxy_threshold_not_formal,not formal trigger
risk_bucket,risk_overheat,blocked,blocked_no_accepted_pit_risk_bucket,do not fabricate
