snapshot_date,benchmark_0050_ready,TAIFEX_ready,global_completed_sessions_ready,global_symbol_count,date_level_market_gate_ready
2023-07-14,True,True,True,6,True
2023-07-21,True,True,True,6,True
2023-07-28,True,True,True,6,True
2023-08-04,True,True,True,6,True
2023-08-11,True,True,True,6,True
2023-08-18,True,True,True,6,True
2023-08-25,True,True,True,6,True
2023-09-01,True,True,True,6,True
2023-09-08,True,True,True,6,True
2023-09-15,True,True,True,6,True
2023-09-22,True,True,True,6,True
2023-09-28,True,True,True,6,True
2023-10-06,True,True,True,6,True
2023-10-13,True,True,True,6,True
2023-10-20,True,True,True,6,True
2023-10-27,True,True,True,6,True
2023-11-03,True,True,True,6,True
2023-11-10,True,True,True,6,True
2023-11-17,True,True,True,6,True
2023-11-24,True,True,True,6,True
2023-12-01,True,True,True,6,True
2023-12-08,True,True,True,6,True
2023-12-15,True,True,True,6,True
2023-12-22,True,True,True,6,True
2023-12-29,True,True,True,6,True
2024-01-05,True,True,True,6,True
2024-01-12,True,True,True,6,True
2024-01-19,True,True,True,6,True
2024-01-26,True,True,True,6,True
2024-02-02,True,True,True,6,True
2024-02-05,True,True,True,6,True
2024-02-16,True,True,True,6,True
2024-02-23,True,True,True,6,True
2024-03-01,True,True,True,6,True
2024-03-08,True,True,True,6,True
2024-03-15,True,True,True,6,True
2024-03-22,True,True,True,6,True
2024-03-29,True,True,True,6,True
2024-04-03,True,True,True,6,True
2024-04-12,True,True,True,6,True
2024-04-19,True,True,True,6,True
2024-04-26,True,True,True,6,True
2024-05-03,True,True,True,6,True
2024-05-10,True,True,True,6,True
2024-05-17,True,True,True,6,True
2024-05-24,True,True,True,6,True
2024-05-31,True,True,True,6,True
2024-06-07,True,True,True,6,True
2024-06-14,True,True,True,6,True
2024-06-21,True,True,True,6,True
2024-06-28,True,True,True,6,True
2024-07-05,True,True,True,6,True
2024-07-12,True,True,True,6,True
2024-07-19,True,True,True,6,True
2024-07-26,True,True,True,6,True
2024-08-02,True,True,True,6,True
2024-08-09,True,True,True,6,True
2024-08-16,True,True,True,6,True
2024-08-23,True,True,True,6,True
2024-08-30,True,True,True,6,True
2024-09-06,True,True,True,6,True
2024-09-13,True,True,True,6,True
2024-09-20,True,True,True,6,True
2024-09-27,True,True,True,6,True
2024-10-04,True,True,True,6,True
2024-10-11,True,True,True,6,True
2024-10-18,True,True,True,6,True
2024-10-25,True,True,True,6,True
2024-11-01,True,True,True,6,True
2024-11-08,True,True,True,6,True
2024-11-15,True,True,True,6,True
2024-11-22,True,True,True,6,True
2024-11-29,True,True,True,6,True
2024-12-06,True,True,True,6,True
2024-12-13,True,True,True,6,True
2024-12-20,True,True,True,6,True
2024-12-27,True,True,True,6,True
2025-01-03,True,True,True,6,True
2025-01-10,True,True,True,6,True
2025-01-17,True,True,True,6,True
2025-01-22,True,True,True,6,True
2025-02-07,True,True,True,6,True
2025-02-14,True,True,True,6,True
2025-02-21,True,True,True,6,True
2025-02-27,True,True,True,6,True
2025-03-07,True,True,True,6,True
2025-03-14,True,True,True,6,True
2025-03-21,True,True,True,6,True
2025-03-28,True,True,True,6,True
2025-04-02,True,True,True,6,True
2025-04-11,True,True,True,6,True
2025-04-18,True,True,True,6,True
2025-04-25,True,True,True,6,True
2025-05-02,True,True,True,6,True
2025-05-09,True,True,True,6,True
2025-05-16,True,True,True,6,True
2025-05-23,True,True,True,6,True
2025-05-29,True,True,True,6,True
2025-06-06,True,True,True,6,True
2025-06-13,True,True,True,6,True
2025-06-20,True,True,True,6,True
2025-06-27,True,True,True,6,True
2025-07-04,True,True,True,6,True
2025-07-11,True,True,True,6,True
2025-07-18,True,True,True,6,True
2025-07-25,True,True,True,6,True
2025-08-01,True,True,True,6,True
2025-08-08,True,True,True,6,True
2025-08-15,True,True,True,6,True
2025-08-22,True,True,True,6,True
2025-08-29,True,True,True,6,True
2025-09-05,True,True,True,6,True
2025-09-12,True,True,True,6,True
2025-09-19,True,True,True,6,True
2025-09-26,True,True,True,6,True
2025-10-03,True,True,True,6,True
2025-10-09,True,True,True,6,True
2025-10-17,True,True,True,6,True
2025-10-23,True,True,True,6,True
2025-10-31,True,True,True,6,True
2025-11-07,True,True,True,6,True
2025-11-14,True,True,True,6,True
2025-11-21,True,True,True,6,True
2025-11-28,True,True,True,6,True
2025-12-05,True,True,True,6,True
2025-12-12,True,True,True,6,True
2025-12-19,True,True,True,6,True
2025-12-26,True,True,True,6,True
2026-01-02,True,True,True,6,True
2026-01-09,True,True,True,6,True
2026-01-16,True,True,True,6,True
2026-01-23,True,True,True,6,True
2026-01-30,True,True,True,6,True
2026-02-06,True,True,True,6,True
2026-02-11,True,True,True,6,True
2026-02-26,True,True,True,6,True
2026-03-06,True,True,True,6,True
2026-03-13,True,True,True,6,True
2026-03-20,True,True,True,6,True
2026-03-27,True,True,True,6,True
2026-04-02,True,True,True,6,True
2026-04-10,True,True,True,6,True
2026-04-17,True,True,True,6,True
2026-04-24,True,True,True,6,True
2026-04-30,True,True,True,6,True
2026-05-08,True,True,True,6,True
2026-05-15,True,True,True,6,True
2026-05-22,True,True,True,6,True
2026-05-29,True,True,True,6,True
2026-06-05,True,True,True,6,True
2026-06-12,True,True,True,6,True
2026-06-18,True,True,True,6,True
2026-06-26,True,True,True,6,True
2026-06-29,True,True,True,6,True
