field_or_policy,status,reason
current_holder_state,blocked,No live position-state contract; not fabricated
incumbent_protection_state,blocked,No live incumbent state contract; not fabricated
B_switch_rule,blocked,A/B switch explicitly unauthorized
fallback_00631L_trading_rule,blocked,Fallback reference only; no accepted cash/fallback classifier
cash_classifier,blocked,No accepted market cash classifier
risk_bucket,blocked,Formal risk bucket unavailable
RS30_proxy,proxy,Exact RS30 unavailable
large_down_blowoff,proxy,Diagnostic risk proxy only
Layer5_action_rule,blocked,Layer5 action rule unauthorized
portfolio_replay,blocked,Replay unauthorized
