field_group,source_quality,contract_role
Layer4_80_primary_pool,exact_from_core_layer4_contract,base universe
Layer4_31_high_confidence_overlap,exact_from_core_layer4_reference,context flag
Layer4_100_extended_reentry,exact_from_core_layer4_reference,context flag
within80_rank_score/topk,derived_exact_from_layer4_pool_rank,diagnostic rank context
final_single_stock_selector_candidates,derived_exact_from_within80_context,diagnostic selector candidate context
Layer1_quality,diagnostic_exact_from_core_contract,pass-through
Layer2_capital_RS_context,diagnostic_exact_or_proxy_mixed,pass-through
Layer3_broad_label_context,diagnostic_exact_or_proxy_mixed,pass-through
Layer4_pool_scores,diagnostic_exact_from_core_contract,pass-through
forward_excess_5d_10d_20d_30d,evaluation_metadata_only,not rule construction
forward_excess_40d,evaluation_metadata_only,decay reference only
current_holder/incumbent,blocked,no live position-state contract
cash_classifier/fallback_rule,blocked,no accepted market cash classifier
00631L/0050正二,reference_metadata_only,not ordinary stock row
