field_group,source_quality,contract_role
Layer4_80_primary_pool_rows,exact_from_core_pool_size_contract,primary_pool
Layer4_100_extended_watchlist_rows,exact_from_core_pool_size_contract,reference_only
Layer4_31_high_confidence_subpool_rows,exact_from_core_pool_size_contract,reference_only
Layer1_b30_pass_through,diagnostic_exact_from_core_contract,base_eligibility
Layer2_context_fields,diagnostic_exact_or_proxy_mixed,context_only
Layer3_broad_label_scores,diagnostic_exact_or_proxy_mixed,ranking_context
forward_excess_5d_10d_20d_30d,evaluation_metadata_only,primary_eval_keys
forward_excess_40d,evaluation_metadata_only,decay_reference_only
RS30_proxy,proxy,not formal
large_down_blowoff,proxy,not formal
AI_theme_dynamic_slot,blocked_placeholder,not hard-coded
