effective_date,ticker,name,source,source_updated_at
2025-06-23,1216.TW,統一,seed_public_snapshot,2026-06-13
2025-06-23,1301.TW,台塑,seed_public_snapshot,2026-06-13
2025-06-23,1303.TW,南亞,seed_public_snapshot,2026-06-13
2025-06-23,2002.TW,中鋼,seed_public_snapshot,2026-06-13
2025-06-23,2059.TW,川湖,seed_public_snapshot,2026-06-13
2025-06-23,2207.TW,和泰車,seed_public_snapshot,2026-06-13
2025-06-23,2301.TW,光寶科,seed_public_snapshot,2026-06-13
2025-06-23,2303.TW,聯電,seed_public_snapshot,2026-06-13
2025-06-23,2308.TW,台達電,seed_public_snapshot,2026-06-13
2025-06-23,2317.TW,鴻海,seed_public_snapshot,2026-06-13
2025-06-23,2327.TW,國巨,seed_public_snapshot,2026-06-13
2025-06-23,2330.TW,台積電,seed_public_snapshot,2026-06-13
2025-06-23,2345.TW,智邦,seed_public_snapshot,2026-06-13
2025-06-23,2357.TW,華碩,seed_public_snapshot,2026-06-13
2025-06-23,2379.TW,瑞昱,seed_public_snapshot,2026-06-13
2025-06-23,2382.TW,廣達,seed_public_snapshot,2026-06-13
2025-06-23,2383.TW,台光電,seed_public_snapshot,2026-06-13
2025-06-23,2395.TW,研華,seed_public_snapshot,2026-06-13
2025-06-23,2412.TW,中華電,seed_public_snapshot,2026-06-13
2025-06-23,2454.TW,聯發科,seed_public_snapshot,2026-06-13
2025-06-23,2603.TW,長榮,seed_public_snapshot,2026-06-13
2025-06-23,2609.TW,陽明,seed_public_snapshot,2026-06-13
2025-06-23,2615.TW,萬海,seed_public_snapshot,2026-06-13
2025-06-23,2880.TW,華南金,seed_public_snapshot,2026-06-13
2025-06-23,2881.TW,富邦金,seed_public_snapshot,2026-06-13
2025-06-23,2882.TW,國泰金,seed_public_snapshot,2026-06-13
2025-06-23,2883.TW,凱基金,seed_public_snapshot,2026-06-13
2025-06-23,2884.TW,玉山金,seed_public_snapshot,2026-06-13
2025-06-23,2885.TW,元大金,seed_public_snapshot,2026-06-13
2025-06-23,2886.TW,兆豐金,seed_public_snapshot,2026-06-13
2025-06-23,2887.TW,台新金,seed_public_snapshot,2026-06-13
2025-06-23,2890.TW,永豐金,seed_public_snapshot,2026-06-13
2025-06-23,2891.TW,中信金,seed_public_snapshot,2026-06-13
2025-06-23,2892.TW,第一金,seed_public_snapshot,2026-06-13
2025-06-23,2912.TW,統一超,seed_public_snapshot,2026-06-13
2025-06-23,3008.TW,大立光,seed_public_snapshot,2026-06-13
2025-06-23,3017.TW,奇鋐,seed_public_snapshot,2026-06-13
2025-06-23,3034.TW,聯詠,seed_public_snapshot,2026-06-13
2025-06-23,3045.TW,台灣大,seed_public_snapshot,2026-06-13
2025-06-23,3231.TW,緯創,seed_public_snapshot,2026-06-13
2025-06-23,3661.TW,世芯-KY,seed_public_snapshot,2026-06-13
2025-06-23,3711.TW,日月光投控,seed_public_snapshot,2026-06-13
2025-06-23,4904.TW,遠傳,seed_public_snapshot,2026-06-13
2025-06-23,4938.TW,和碩,seed_public_snapshot,2026-06-13
2025-06-23,5871.TW,中租-KY,seed_public_snapshot,2026-06-13
2025-06-23,5876.TW,上海商銀,seed_public_snapshot,2026-06-13
2025-06-23,5880.TW,合庫金,seed_public_snapshot,2026-06-13
2025-06-23,6505.TW,台塑化,seed_public_snapshot,2026-06-13
2025-06-23,6669.TW,緯穎,seed_public_snapshot,2026-06-13
2025-06-23,6919.TW,康霈*,seed_public_snapshot,2026-06-13
