effective_date,ticker,symbol,name,style_role,review_status,is_current_member,defensive_score,stability_score,cross_sector_score,fundamental_score,review_reason
2026-06-01,0050.TW,0050,0050,大型市場核心ETF,active,true,88,86,95,80,市場核心曝險工具；作為防守池的市場基準與低個股風險選項。
2026-06-01,00631L.TW,00631L,0050正二,大型市場槓桿ETF,active,true,65,45,80,70,市場槓桿曝險工具；僅在模型判定趨勢有利時承擔較高波動。
2026-06-01,2330.TW,2330,台積電,市場核心半導體,active,true,82,80,88,92,市場核心股；在池3視為半導體核心與市場代表，不是純AI題材股。
2026-06-01,2412.TW,2412,中華電,電信防守核心,active,true,92,94,82,84,保留作為防守代表
2026-06-01,3045.TW,3045,台灣大,電信防守核心,active,true,89,90,80,82,電信與現金流防守代表；保留於核心防守池。
2026-06-01,1216.TW,1216,統一,消費防守核心,active,true,86,87,78,83,民生消費與食品通路代表；具防守與現金流特性。
2026-06-01,2912.TW,2912,統一超,消費通路核心,active,true,84,86,76,82,消費通路防守代表；觀察資金是否轉向穩定現金流。
2026-06-01,2881.TW,2881,富邦金,金融核心,active,true,78,76,84,78,金融大型權值代表；觀察資金轉向金融時的主要代理。
2026-06-01,2882.TW,2882,國泰金,金融核心,active,true,78,75,84,77,金融大型權值代表；保留於核心防守池。
2026-06-01,2891.TW,2891,中信金,金融核心,active,true,76,74,82,76,金融大型權值代表；觀察防守與收益型資金。
2026-06-01,2892.TW,2892,第一金,金融防守,active,true,77,78,80,75,金融防守型代表；波動相對可控。
2026-06-01,1301.TW,1301,台塑,傳產核心,active,true,72,70,78,68,傳產核心代表；用於觀察資金是否離開科技主線。
2026-06-01,1303.TW,1303,南亞,傳產核心,active,true,72,69,78,68,傳產與塑化代表；保留於核心防守池。
2026-06-01,2002.TW,2002,中鋼,景氣循環核心,active,true,68,66,74,64,傳產景氣循環代表；觀察資金風格轉移。
2026-06-01,2207.TW,2207,和泰車,消費耐久財核心,active,true,74,72,74,76,大型消費耐久財代表；作為非科技核心代理。
2026-06-01,2603.TW,2603,長榮,航運景氣代表,active,true,64,58,70,62,航運景氣代表；波動較高，需持續檢查風險。
2026-06-01,2609.TW,2609,陽明,航運景氣代表,active,true,60,55,68,60,航運景氣代表；波動較高，保留但需月頻檢查。
2026-06-01,1101.TW,1101,台泥,傳產防守候選,watch,false,70,72,72,66,傳產與基建防守候選；待確認是否比既有傳產核心更具代表性。
2026-06-01,5871.TW,5871,中租-KY,金融服務候選,watch,false,68,62,72,68,金融服務與景氣敏感候選；需確認波動與基本面品質。
2026-06-01,2357.TW,2357,華碩,非AI科技核心候選,watch,false,66,64,70,70,非AI科技/品牌硬體候選；可觀察科技風格轉換。
2026-06-01,2395.TW,2395,研華,工業電腦核心候選,watch,false,70,68,72,72,工業電腦與自動化核心候選；需檢查估值與流動性。
2026-06-01,4904.TW,4904,遠傳,電信防守候選,watch,false,88,88,78,80,電信防守候選；可與中華電、台灣大比較是否納入。
